title,subTitle,start,end,color,img,desc,descImg,
天魔機忍 第1話,コラボ,2018-02-08,,brown,,,,
キズナアイ 150万人突破,150万人突破,2018-02-09,,#DF01D7,,,,
背負ってんだよなー人生,ちあ　の背中に掘られてたのが動画で公開された,2018-02-09,,#FA58F4,,,,
のじゃろりニコ生配信,歌発表ー,2018-02-11,,#FF8000,,,,
ちゆ12歳 初投稿（復帰）,,2018-02-13,,#DF01D7,,,,
ミライアカリ 20万人突破,２０万人突破,2018-02-13,,#04B4AE,,,,
のじゃおじ公式グッズ Lineスタンプ,Lineスタンプ,2018-02-13,,#74DF00,,,,
童貞の女の子,ねこますさんツイッターで発言,2018-02-13,,#04B4AE,,,,
響木アオ 初投稿,,2018-02-14,,#B404AE,,,,
絶対天使クルミちゃん　消失,ハッキングの後消えた,2018-02-14,,#8A0868,,,,
ミライアカリ バレンタイン企画,0.01％となった,2018-02-14,,#9A2EFE,,,,
薬袋ｶﾙﾃ 初投稿,,2018-02-15,,#4B8A08,,,,
ローズブリザート,ukaさまと深雪のコラボ,2018-02-15,,#8904B1,,,,
10分で分かる清楚系委員長,１０分じゃない委員長　niconico番,2018-02-16,,#610B5E,,,,
クーテトラ　初投稿,,2018-02-16,,#8A4B08,,,,
猫宮ひなた 初投稿,初投稿　レースゲームやってる方,2018-02-16,,#B40404,,,,
キズナアイ ニコニコ蝶音楽祭に出演決定,音楽祭,2018-02-16,,#8A0886,,,,
万楽えね 初投稿,,2018-02-17,,#7401DF,,,,
アイザック 初投稿,,2018-02-17,,#8A4B08,,,,
輝夜月 50万人突破,５０万人突破,2018-02-17,,#868A08,,,,
Tokyo Otaku Mode、「キズナアイ 1/7 スケールフィギュア」制作を発表,フィギュア,2018-02-18,,#B404AE,,,,
キズナアイのねんどろいどか 展示,ワンフェスで展示,2018-02-18,,#5F04B4,,,,
ふぃおっさん 初投稿,,2018-02-20,,#B40486,,,,
タマキン 初投稿（再up）,,2018-02-21,,#DBA901,,,,
あんたま 投票,CDデビューについて 重い雰囲気の中行われた,2018-02-21,,#DF013A,,,,
【03】感謝の舞いと応援ソング【イヌージョン】,応援ソング 原因,2018-02-23,,#585858,,,,
Panora 第一回週間Vtuberランキング,第一回週間Vtuberランキング,2018-02-23,,#19070B,,,,
ミライアカリ グッズ出店 animejapan 2018,3/24,2018-02-23,,#0A1B2A,,,25二販売 ファンとの交流し 遊んだ,
キズナアイ リアルイベント開催宣言,,2018-02-23,,#610B5E,,,,
虹河ラキ 初投稿,,2018-02-23,,#04B404,,,,
水菜 初投稿,,2018-02-24,,#04B4AE,,,,
第一回Vtuberハッカソン,PANORA主催,2018-02-24,,#01DFA5,,,,
第一回Vtuber ハッカソン,26の二日間のじゃろりが出てくる,2018-02-25,,#B45F04,,,,
バーチャルYouTuberよくばりセットが削除,,2018-02-26,2018-02-28,blue,,,,
バーチャライズ始動,当時は紫音 のみ,2018-02-26,,#A901DB,,,,
月ノ美兎 de きしめん,きしめんMAD ほぼヨーロッパ企画,2018-02-26,,#BFFF00,,,,
東雲めぐ　初投稿,,2018-02-27,,#FACC2E,,,,
キズナアイ テレビ化決定,キズナアイのBEATスクランブル,2018-02-27,,#A901DB,,,,
＃Vtuber始めました,Vtuber始めましたを提案する,2018-02-27,,#424242,,,,
鳩羽つぐ 初投稿,,2018-02-28,,#04B431,,,,
馬越、後輩からLINE聞こうとして謹慎,,2018-02-28,,#B45F04,,,,
ちあ 応援ソング,応援ソング　アレンジする,2018-02-28,,#DF01D7,,,,
【動物紹介型Vtube】どうぶつのともだち～神戸どうぶつ王国～【名無しのアデリー】,動物園紹介系Vtuberの動画の一つがばずった,2018-03-01,,#01DF3A,,,,
キズナアイ 訪日促進大使就任,2018/03/25 まで,2018-03-01,,#B404AE,,,,
Azuma Lim Channel -アズマ リム-,初投稿,2018-03-01,,#7401DF,,,,
キズナピピック【バーチャルYoutuberみんなでMADをつくってみた！】,ポプテピピックOPパロ,2018-03-01,,#B404AE,,,,
DDとばぁちゃるがコラボ,にんじん,2018-03-02,,#B43104,,,,
キズナオドル,ココロオドル,2018-03-02,,#8904B1,,,,
初ライブ アズリムのソーラン節,,2018-03-03,,purple,,,,
ときのそら １０万人突破,１０万人とっぱ,2018-03-03,,#086A87,,,,
清楚マン,月のミトのデビルマンMAD,2018-03-03,,#088A85,,,,
W01FA 初投稿,,2018-03-04,,#2E2E2E,,,,
おめがシスターズ 初投稿,,2018-03-04,,#B404AE,,,,
ミソシタ,初投稿,2018-03-04,,#7401DF,,,,
【神回】ボイチェン芸を披露する月ノ美兎まとめ【生放送】,ルイーズ,2018-03-06,,#BF00FF,,,,
ゲーム部 初投稿,,2018-03-06,,#424242,,,,
キズナアイ面接,キズナアイ面接 投稿,2018-03-07,,#610B5E,,,,
えびなチャンネル,初投稿,2018-03-08,,#DF7401,,,,
エルフの森を完全焼却した樋口楓UC,ガチで描かれたやつ,2018-03-08,,#01DF01,,,,
VB 三味線放送,結構この後も何回かやってます,2018-03-10,,#DF7401,,,,
バーチャルのじゃろり狐娘Youtubeおじさんのうた ニコ生披露,ニコ生にて行う,2018-03-11,,#DF3A01,,,,
ピクセルコ 初投稿,,2018-03-12,,#6E6E6E,,,,
【楽曲試聴】「Moon!!」(歌：月ノ美兎),ファンによる作曲,2018-03-12,,#BF00FF,,,,
.live １０人Vtuber募集,ばぁちゃるップロデューサー,2018-03-13,,#2E2E2E,,,,
どうしたんだいキモオタ　（アンパンマンものまね）,アンパンマンものまね,2018-03-13,,#31B404,,,,
のじゃおじ しろ 超会議に参戦　発表,,2018-03-13,,#8A4B08,,,,
【初回】10分でわかるにじさんじ2期生のやべーやつ【鈴鹿詩子】,ニコニコで人気になってしまった動画,2018-03-13,,#6A0888,,,,
ミライアカリ 50万突破,５０万人突破,2018-03-14,,#08298A,,,,
剣持刀也 初投稿,ミラティブアーカイブでYoutube動画,2018-03-14,,#6A0888,,,,
ダンスえるえるダンス,MAD,2018-03-14,,#088A29,,,,
KAI-YOU、ニュース番組キャスターにVTuber・虹乃まほろ起用,まほろちゃん自体は前々からいた,2018-03-15,,#B404AE,,,,
ミライアカリ 輝夜月コラボ,コラボ,2018-03-16,,#04B45F,,,,
BANS　結成,,2018-03-17,,#000000,,,,
キズナアイファンイベント,,2018-03-18,,#8904B1,,,,
PANORAランキング動画終了のお知らせ,,2018-03-18,,#292A0A,,,,
ヴるまちゃん 初投稿,,2018-03-18,,#610B5E,,,,
キズナアイリアルイベント開催,,2018-03-18,,#8904B1,,,,
田中ヒメ 初投稿,,2018-03-18,,#FF00FF,,,,
委員長 月の美兎 同時視聴者数3万8000人,でろーんと一緒,2018-03-18,,#DF0101,,,,
フリージア/富士葵,富士葵がフリージアを歌うだけ,2018-03-18,,#0489B1,,,,
ミライアカリが知名度調査リベンジ成功,,2018-03-19,,#00BFFF,,,,
キズナアイ×上坂すみれ,,2018-03-19,,#DF01A5,,,,
にじさんじ男子コラボ,,2018-03-19,,#6E6E6E,,,,
電脳サイエンティスト・ファイ 初投稿,,2018-03-19,,#868A08,,,,
ダンスアリスダンス,にじさんじアリスのDRDMAD,2018-03-19,,#424242,,,,
hitogata　リリース,,2018-03-20,,#04B404,,,,
刀也マン,力也MAD,2018-03-20,,#2E2E2E,,,,
若菜ラジオスタート,,2018-03-21,,#04B431,,,,
シロ登録者数40万人突破,,2018-03-21,,#01A9DB,,,,
モスおじが突然ダンスを披露,,2018-03-21,,#DF7401,,,,
届木ウカ×委員長のサブカルクソコラボ,,2018-03-21,,#0489B1,,,,
じゃがりこ面接の権利関係で混乱広がる,,2018-03-21,,#DF01D7,,,,
月詠桜 初投稿,,2018-03-23,,#BF00FF,,,,
ショッピングモールのプレオープンデー,ショッピングモールまわる,2018-03-23,,#298A08,,,,
VRChat個人勢集会(ドミノ大会),,2018-03-24,,#01DFD7,,,,
オッドアイ×パゲ美×えね×あっくんのなんかもうどうしようもないコラボ,,2018-03-24,,#DF01D7,,,,
響木アオ初生放送,,2018-03-24,,#FE2EF7,,,,
詩子お姉さんのテーマ,０・・０・・０,2018-03-24,,#FA58D0,,,,
のじゃおじがITカンファレンスに登壇,just do it!,2018-03-24,,#FAAC58,,,,
れらたんもVRChatデビュー,,2018-03-25,,#FF00BF,,,,
アオのまほうのかがみごーまさかの続編,,2018-03-25,,#FA58D0,,,,
ウマ娘 ぱかチューブっ 初投稿,アニメウマ娘 始まる直前に出す,2018-03-25,,#FACC2E,,,,
ばぁちゃるリアルに見参,禍つヴァールハイト 公開生放送-機動兵団隊員募集開始-,2018-03-25,,#FE9A2E,,,,
響木アオが孤独のあまり狂気じみた遊びを敢行,,2018-03-26,,#FE2EF7,,,,
のじゃおじ、オリジナル曲を歌う,,2018-03-26,,#DF7401,,,,
鳩羽つぐ、よくばりセット新作,,2018-03-26,,#585858,,,,
渋谷ハジメの謝罪動画,,2018-03-26,,#04B404,,,,
VTuberの開発／プロデュースを行う新プロダクション設立,VR設立 ficty,2018-03-26,,#0040FF,,,,
ときのそらが生放送で高いピアノスキルを披露,,2018-03-27,,#9A2EFE,,,,
VRChat合同サバゲー企画,,2018-03-27,,#80FF00,,,,
YUAのキズナアイ面接は流石の演技力,,2018-03-28,,#FA58F4,,,,
響木アオ新オリジナル曲,,2018-03-28,,#FA58F4,,,,
V1開催,4/4まで,2018-03-28,,#848484,,,,
BitStar、公式VTuber「朝宮ゆり」の声優を募集 4月5日まで,応募,2018-03-28,,#8A0868,,,,
バーチャルYouTuberたちのチャンネル登録者数の変化をアイコンで表現する動画,niconicoに出てくる,2018-03-28,,#6E6E6E,,,,
ダンスウミウシダンス,DRD MAD にじさんじいちごのMAD,2018-03-28,,#FF00FF,,,,
【夕陽リリ】タイムマシンを開発したのですが…,ミラティブのクソマロ,2018-03-28,,#BF00FF,,,,
オッドアイがロビカスを撃破,,2018-03-29,,#DF01A5,,,,
輝夜月の公式LINEスタンプが販売開始,,2018-03-29,,#AEB404,,,,
輝夜月が漫画化される,,2018-03-29,,#A5DF00,,,,
白次郎、雨下カイトらがVRchatにて空飛ぶほうきレースを開催・配信,,2018-03-29,,#01DFA5,,,,
委員長のもとにまた多数のファン制作ゲームが,,2018-03-29,,#DF0174,,,,
BANちゅうリアル親に怒られ一時活動停止,,2018-03-29,,#393B0B,,,,
そら飛ぶほうきで大レース!!,ほうきで飛ぶ,2018-03-29,,#045FB4,,,,
バーチャルおばあちゃん、生放送アーカイブを一斉公開,,2018-03-30,,#B45F04,,,,
クソメガネ、成人式に2回出席してたことが判明,,2018-03-30,,#04B486,,,,
ファミ通にシロとのじゃおじの記事,,2018-03-30,,#9AFE2E,,,,
パンディ壺高速クリアで無事twitterアカウント作成,,2018-03-30,,#FF8000,,,,
物述有栖、チャンネル登録者数3万人突破,,2018-03-31,,#FFFF00,,,,
のらきゃっと、新ボディを公開,,2018-03-31,,#585858,,,,
猫宮PUBG新作 18キルを叩き出す流石の実力,,2018-03-31,,#B45F04,,,,
小林銅蟲と委員長がコラボ クリオネを実食してトレンド入りする,,2018-03-31,,#01A9DB,,,,
のじゃろり のらきゃっと 新モデルに合う,ねこますとのらきゃっとの出会い,2018-03-31,,#FFBF00,,,,
モカ、コーヒーYoutuber 投稿,,2018-03-31,,#DF3A01,,,,
ハッカドール、初投稿（Vtuber）,,2018-03-31,,#086A87,,,,
サバゲやろうぜ！in VRChat,サバゲやる,2018-03-31,,#B45F04,,,,
委員長委員長,委員長のDRDMAD,2018-03-31,,#BF00FF,,,,
輝夜月、チャンネル登録者数60万人を突破！,,2018-04-01,,#FFBF00,,,,
エイプリルフールに合わせて多くのVtuberが企画動画、ライブを行う,,2018-04-01,,#04B404,,,,
ヨメミ、3D化始動中を発表,,2018-04-01,,#8904B1,,,,
霊電チアキ、2ヶ月以上の活動休止状態からサプライズライブ配信,,2018-04-01,,#04B4AE,,,,
キズナアイ　輝夜月　入れ替わり,後で追加しました,2018-04-01,,#BF00FF,,,,
ばぁちゃる エイプリルフールネタがひどすぎて謹慎,全身敏感,2018-04-01,,#01DF01,,,,
彩音 Official 初投稿,,2018-04-01,,#DF01D7,,,,
ピピピ　自己紹介 50万円消えた子,自己紹介 50万円消えた子,2018-04-01,,#BF00FF,,,,
ニパ子　初投稿,,2018-04-01,,#04B4AE,,,,
VT-212、ニーミの新デザインを募集,,2018-04-02,,#01DFA5,,,,
キズナアイ、チャンネル登録者数170万人突破、総再生回数1億回超え！！,,2018-04-02,,#DF01D7,,,,
富士葵、チャンネル登録者数6万人突破、ツイッターフォロワー数3万人突破！,,2018-04-02,,#04B4AE,,,,
アキバにのじゃろり看板,世知辛いのじゃー,2018-04-02,,#FF8000,,,,
輝夜月、ボイスつきLINEスタンプ発売 全24種類,240円,2018-04-02,,#FACC2E,,,,
むすび二等兵 初投稿,,2018-04-02,,#585858,,,,
ぽんぽこ、チャンネル登録者数1万人突破！！,,2018-04-03,,#FF8000,,,,
かしこまり、チャンネル登録者数2万人突破！,,2018-04-03,,#04B4AE,,,,
富士葵、新ボディの全身像を公開,,2018-04-03,,#2ECCFA,,,,
シロ、海外視聴者に向けてチャンネル名をSiro channelへ変更,,2018-04-03,,#5882FA,,,,
BAN's、4/7の19:00から 麻雀講座配信を開催！,,2018-04-04,,#088A08,,,,
Icotsu 肉付く,ツイッターで発表,2018-04-04,,#424242,,,,
ババアバーチャルババア,DRD　MAD,2018-04-04,,#B45F04,,,,
バーチャル配信者プロダクション事業を展開 新会社CyberV設立,バーチャルストリーマー,2018-04-04,,#D7DF01,,,,
ぽんぽこ ピーナッツ君とコラボ,ピーナッツ君の枠,2018-04-04,,#FF8000,,,,
カバー(ときのそらが所属する会社)、ホロライブをVtuberになれるアプリとしてアプデ配信・専属Vtuberオーディション開催を発表,,2018-04-05,,#0174DF,,,,
いちから(にじさんじが所属する会社)、公式Vtuberのオーディションを再開,,2018-04-05,,#31B404,,,,
GREE、Vtuber事業に参入を発表,,2018-04-05,,#01DF3A,,,,
にじさんじ森中花咲、ボイスを販売とCF開始,,2018-04-05,,#00FF80,,,,
にじさんじ1期メンバー、コンプティーク6月号に取材が掲載,,2018-04-05,,#D7DF01,,,,
春日部つくし、グッズ販売を開始,,2018-04-05,,#BF00FF,,,,
のらきゃっと、ch登録者数7万人を突破！！,,2018-04-05,,#FFBF00,,,,
hololive ホロライブリリース,,2018-04-05,,#0080FF,,,,
キズナアイが「八月のシンデレラナイン」に登場,野球する,2018-04-05,,#8000FF,,,,
hololiveリニューアル,のじゃろり入ってる,2018-04-05,,#6E6E6E,,,,
グリー参入,１００億円投じる,2018-04-05,,#04B431,,,,
パぺ文字 配信,おっさんでもできる,2018-04-05,,#6E6E6E,,,,
響木アオ、4/21TSUTAYA三軒茶屋店にて音楽ライブを開催！,,2018-04-06,,#FE2EF7,,,,
東雲めぐ、16歳の誕生日！記念ライブを配信,,2018-04-06,,#D7DF01,,,,
森中花咲、CF50万円達成！,,2018-04-06,,#01DF3A,,,,
キズナアイ、Vtuber初の冠TV番組『キズナアイのBEATスクランブル』放送開始！！！,,2018-04-06,,#FF00BF,,,,
ミディ、CH登録者数1万人突破！,,2018-04-06,,#01DFA5,,,,
バーチャルyoutuber百っかそん,5/7まで,2018-04-06,,#6E6E6E,,,,
シロの記念 3人のコラボ,ウマなのに親ヅラしないで！・・・・ありがと,2018-04-06,,#0174DF,,,,
深雪、ソフィアコード、OPENRECの公式ライブストリーマーに就任,,2018-04-07,,#BF00FF,,,,
鈴谷アキ、ch登録者数2万人突破！,,2018-04-07,,#FFBF00,,,,
DD、ch登録者数1万人突破！,,2018-04-07,,#0080FF,,,,
月ノ美兎の放課後ニコ生放送局,３D化したもの,2018-04-07,,#BF00FF,,,,
Vtuber×VRChat クイズ王決定戦,VRC上で行われた,2018-04-07,,#FFBF00,,,,
さはな、ch登録者数2万人、累計再生数100万回突破！,,2018-04-08,,#FACC2E,,,,
ニーツ、ch登録者数2万人突破！,,2018-04-08,,#2E9AFE,,,,
橙ちとせ、公式グッズを販売開始,,2018-04-08,,#FE9A2E,,,,
バーチャルYouTuber事務所、Entum誕生！！！ミライアカリ、猫宮ひなた、ヨメミ、もちひよこ、届木ウカが所属,,2018-04-09,,#848484,,,,
かしこまり、チャンネル登録者数3万人突破！,,2018-04-09,,#D7DF01,,,,
ENTUM,DUOが発表,2018-04-09,,#0080FF,,,,
宇士海いちご、フォロワー数2万人突破！,,2018-04-10,,#D358F7,,,,
おめがシスターズ、ch登録者数5千人突破,,2018-04-10,,#D358F7,,,,
CGWORLDにVtuber特集,５月号,2018-04-10,,#FE9A2E,,,,
いるはーと,初投稿,2018-04-10,,#D358F7,,,,
えのぐ、グッズ再販開始,,2018-04-11,,#FE9A2E,,,,
ディープウェブ・アンダーグラウンド 初投稿,,2018-04-11,,#A901DB,,,,
ミソシタ、ネット記事サイトKAI-YOUに特集される,,2018-04-12,,#0101DF,,,,
薬袋カルテ、デザインを一新・表情やモーションも追加,,2018-04-12,,#04B431,,,,
もちひよこ、春服の新衣装を公開！,,2018-04-12,,#B404AE,,,,
静凛、CH登録者数8万人突破！,,2018-04-12,,#0404B4,,,,
キズナアイ、ニュータイプ5月号に取材等が掲載！,,2018-04-12,,#8A0868,,,,
輝夜月、ネットニュースサイト『PreBell』にインタビュー記事が掲載！,,2018-04-12,,#D7DF01,,,,
ミライアカリ、フォロワー数25万人突破を記念してファンアート用ハッシュタグ 『アカリギャラリー』 が開設,,2018-04-12,,#2ECCFA,,,,
キズナアイ、動画サムネの缶バッジを販売！,,2018-04-13,,#CC2EFA,,,,
ドワンゴ、VTuber配信ソフト「Virtual Cast（β）」公開,,2018-04-13,,#A5DF00,,,,
ピーナッツくん、CH登録者数2万人突破！,,2018-04-13,,#AEB404,,,,
にじさんじメンバーのSHOWROOM公式配信が決定！！JK3人組が明日コラボ配信！,,2018-04-13,,#01DF01,,,,
織田信姫 初投稿,,2018-04-13,,#DF01D7,,,,
バーチャルキャスト発表,dwango,2018-04-13,,#DBA901,,,,
静凛の13日深夜ライブ配信にて、にじさんじメンバー11人での突発声劇が開催,,2018-04-14,,#3A01DF,,,,
薬袋カルテ、CH登録者数6万人突破！,,2018-04-14,,#088A08,,,,
あみあみ秋葉原ラジオ会館にて、キズナアイの彩色済みフィギュアを展示,,2018-04-14,,#A901DB,,,,
ミディ、DTMや音楽の専門サイトSpeakfreaksの『DTMの今コレ .1』にインタビュー記事を掲載,,2018-04-15,,#6E6E6E,,,,
本日14:00〜 あっくん大魔王率いる『特攻野郎Vチーム』のPUBG10人コラボが開催！,,2018-04-15,,#A901DB,,,,
のらきゃっと、本日誕生日(活動1周年)！,,2018-04-15,,#2E2E2E,,,,
宇士海いちご、本日誕生日！,,2018-04-15,,#FF00FF,,,,
ガチ恋サーキュ委員長,恋愛サーキュレーション,2018-04-15,,#FF00BF,,,,
秒刊月ノ美兎の髪の毛ランキング #219,よくわからない動画,2018-04-15,,#B40486,,,,
岩本芸能社女優部、新曲を5月に発表か,,2018-04-16,,#FF8000,,,,
霊電カスカ、新ボディ作成開始！,,2018-04-16,,#424242,,,,
ミソシタ、ライブに出演！,,2018-04-16,,#0000FF,,,,
Vtuber事務所のEntum、新Vtuberの応募要項を変更！性別不問、18歳以上の募集に,,2018-04-16,,#00BFFF,,,,
月ノ美兎、風邪によりラジオ放送延期に,,2018-04-16,,#D358F7,,,,
富士葵、4/27(金)に新モデルを動画にて公開！！,,2018-04-16,,#819FF7,,,,
VR向け3Dアバターファイル形式「VRM」を開発・提供開始,,2018-04-16,,#F7D358,,,,
ドワンゴ、品川に収録と生放送が可能なVRスタジオを新設！ニコニコ本社も設備増強,,2018-04-17,,#00FF80,,,,
勇気ちひろ、CH登録者数2万人突破！,,2018-04-17,,#2ECCFA,,,,
本日よりにじさんじ公式HPがオープン！！,,2018-04-17,,#D358F7,,,,
DD、モデルがバージョンアップ！,,2018-04-17,,#4000FF,,,,
万楽えね、OPENREC公式配信者に,,2018-04-17,,#FF00BF,,,,
バーチャルyoutuberはじめてみる 本 出版,１０００円＋税,2018-04-17,,#FF8000,,,,
詩子お姉さん、際どいBLゲーをプレイしてBANされる。にじさんじで初,,2018-04-18,,#FF00FF,,,,
東雲めぐ、CH登録者数2万人突破！,,2018-04-18,,#D7DF01,,,,
世界くるみ、OPENREC公式配信者に,,2018-04-18,,#01DF74,,,,
かしこまり、CH登録者数4万人突破！,,2018-04-18,,#FACC2E,,,,
珠根うた 初投稿,,2018-04-18,,#BFFF00,,,,
【MMD】宇志海いちごちゃんのダンスロボットダンス,MMDモデルの披露,2018-04-18,,#DF01A5,,,,
ふしまつ対談VTuber学芸会1 #VTuber学会,ふしめつ対談初,2018-04-18,,#FE9A2E,,,,
家長むぎ、ボイス販売を開始！,,2018-04-19,,#D7DF01,,,,
輝夜月が待受画像を配布,,2018-04-19,,#A5DF00,,,,
20日(金) 21:00〜 歌ってみたMIX講座でミディと樋口楓がコラボ！,,2018-04-19,,#424242,,,,
カスタムオーダーメイド3D2に新機能,Vtuberになれるやつ,2018-04-19,,#5F04B4,,,,
にじさんじ家長むぎさんの限定ボイスが昨夜８分で完売！,3分で限定ボイス200名超えた,2018-04-19,,#FFBF00,,,,
もちひよこ、非公式wikiが開設,,2018-04-20,,#FE2EF7,,,,
田中ヒメ、CH登録者数3万人突破！,,2018-04-20,,#FA58F4,,,,
本日 25:20〜 にじさんじメンバーによる声劇第2回！,,2018-04-20,,#58ACFA,,,,
